;            Braid Zoom STR-G braided  line (dark grey), 0,10, 2,7kg, 130m (Тонущий плетеный Шнур-Германия, круглый,без памяти,темно-серый);22,000;CZ0001;8,18 EUR;12,27;Carp Zoom;Шнуры
;            Braid Zoom STR-G braided  line (dark grey), 0,10, 2,7kg, 1500m (Тонущий плетеный Шнур-Германия,без памяти,темно-серый);4,000;CZ0087;74,93 EUR;112,395;Carp Zoom;Шнуры
;            Braid Zoom STR-G braided  line (dark grey), 0,12, 4,3kg, 130m (Тонущий плетеный Шнур-Германия, круглый,без памяти,темно-серый);11,000;CZ0018;8,18 EUR;12,27;Carp Zoom;Шнуры
;            Braid Zoom STR-G braided  line (dark grey), 0,14, 5,4kg, 130m (Тонущий плетеный Шнур-Германия, круглый,без памяти,темно-серый);6,000;CZ0025;8,18 EUR;12,27;Carp Zoom;Шнуры
;            Braid Zoom STR-G braided  line (dark grey), 0,14, 5,4kg, 1500m (Тонущий плетеный Шнур-Германия,без памяти,темно-серый);3,000;CZ0094;74,93 EUR;112,395;Carp Zoom;Шнуры
;            Braid Zoom STR-G braided  line (dark grey), 0,18, 6,9kg, 130m (Тонущий плетеный Шнур-Германия, круглый,без памяти,темно-серый);8,000;CZ0032;8,18 EUR;12,27;Carp Zoom;Шнуры
;            Braid Zoom STR-G braided  line (dark grey), 0,18, 6,9kg, 1500m (Тонущий плетеный Шнур-Германия,без памяти,темно-серый);8,000;CZ0100;74,93 EUR;112,395;Carp Zoom;Шнуры
;            Braid Zoom STR-G braided  line (dark grey), 0,25, 13,0kg, 1500m (Тонущий плетеный Шнур-Германия,без памяти,темно-серый);3,000;CZ0117;74,93 EUR;112,395;Carp Zoom;Шнуры
;            Braid Zoom STR-G braided  line (dark grey), 0,30, 15,2kg, 1500m (Тонущий плетеный Шнур-Германия,без памяти,темно-серый);6,000;CZ0124;74,93 EUR;112,395;Carp Zoom;Шнуры
;            Braid Zoom STR-G braided  line (dark grey),0,20, 10,0kg, 130m (Тонущий плетеный Шнур-Германия, круглый,без памяти,темно-серый);;CZ0049;8,18 EUR;12,27;Carp Zoom;Шнуры
;            Braid Zoom STR-G braided  line (dark grey),0,35, 20,0kg,130m (Тонущий плетеный Шнур-Германия, круглый,без памяти,темно-серый);22,000;CZ0070;8,18 EUR;12,27;Carp Zoom;Шнуры
;            Feeder Competition Feeder Braid line (light grey), 0,06mm, 4,24kg, 100m (Фидерный шнур, светло-серый;6,000;CZ0207;5,24 EUR;7,86;Carp Zoom;Шнуры
;            Feeder Competition Feeder Braid line (light grey), 0,08mm, 4,50kg, 100m (Фидерный шнур, светло-серый;3,000;CZ0382;5,24 EUR;7,86;Carp Zoom;Шнуры
;            Feeder Competition Feeder Braid line (light grey), 0,10mm, 5,93kg, 100m (Фидерный шнур, светло-серый;3,000;CZ0214;5,24 EUR;7,86;Carp Zoom;Шнуры
;            Feeder Competition Feeder Braid line (light grey), 0,12mm, 6,30kg, 100m (Фидерный шнур, светло-серый;3,000;CZ0221;5,24 EUR;7,86;Carp Zoom;Шнуры
;            Feeder Competition Feeder Braid line (light grey), 0,14mm, 9,43kg, 100m (Фидерный шнур, светло-серый;5,000;CZ0238;5,24 EUR;7,86;Carp Zoom;Шнуры
;        41. Fishing Lines - Monofilament (леска) (Catalogue p. 149-150);;;;0;Carp Zoom;
;            Bull-Dog Carp Line 1000m, 0,25mm, PT  8,80kg  (Леска,темно-зеленая);6,000;CZ3483;4,17 EUR;6,255;Carp Zoom;Лески
;            Bull-Dog Carp Line 1000м, 0,28mm, PT 10,75kg (Леска,темно-зеленая);12,000;CZ2967;4,17 EUR;6,255;Carp Zoom;Лески
;            Bull-Dog Carp Line 1000м, 0,31mm, PT 12,65kg (Леска,темно-зеленая);4,000;CZ2974;4,17 EUR;6,255;Carp Zoom;Лески
;            Bull-Dog Carp Line 1000м, 0,35mm, PT 15,45kg (Леска,темно-зеленая);19,000;CZ2981;4,17 EUR;6,255;Carp Zoom;Лески
;            Bull-Dog Carp Line 300m, 0,22mm, PT 6,90kg (Леска,темно-зеленая);;CZ1440;1,49 EUR;2,235;Carp Zoom;Лески
;            Bull-Dog Carp Line 300m, 0,35mm,   PT 15,45kg (Леска,темно-зеленая);41,000;CZ2943;1,49 EUR;2,235;Carp Zoom;Лески
;            Bull-Dog Carp Line 300м, 0,25mm,   PT 8,8kg     (Леска,темно-зеленая);13,000;CZ2912;1,49 EUR;2,235;Carp Zoom;Лески
;            Bull-Dog Carp Line 300м, 0,28mm,   PT 10,75kg (Леска,темно-зеленая);80,000;CZ2929;1,49 EUR;2,235;Carp Zoom;Лески
;            Bull-Dog Carp Line 300м, 0,31mm,   PT 12,65kg (Леска,темно-зеленая);60,000;CZ2936;1,49 EUR;2,235;Carp Zoom;Лески
;            Bull-Dog Carp Line 300м, 0,40mm,   PT 19,35kg (Леска,темно-зеленая);52,000;CZ2950;1,49 EUR;2,235;Carp Zoom;Лески
;            Bull-Dog Carp Line 800m, 0,40mm, PT 19,35kg (Леска,темно-зеленая);6,000;CZ1457;4,17 EUR;6,255;Carp Zoom;Лески
;            Bull-Dog Fluo Carp 1000м, 0,25mm, 8,80kg  (Леска,флуо-салатовая);;CZ3490;4,17 EUR;6,255;Carp Zoom;Лески
;            Bull-Dog Fluo Carp 1000м, 0,28mm,10,75kg (Леска,флуо-салатовая);;CZ3025;4,17 EUR;6,255;Carp Zoom;Лески
;            Bull-Dog Fluo Carp 1000м, 0,31mm,12,65kg (Леска,флуо-салатовая);;CZ3032;4,17 EUR;6,255;Carp Zoom;Лески
;            Bull-Dog Fluo Carp 1000м, 0,35mm,15,45kg (Леска,флуо-салатовая);;CZ3049;4,17 EUR;6,255;Carp Zoom;Лески
;            Bull-Dog Fluo Carp Line 300м,0,25mm, 8,80kg  (Леска,флуо-салатовая);;CZ0582;1,49 EUR;2,235;Carp Zoom;Лески
;            Bull-Dog Fluo Carp Line 300м,0,28mm,10,75kg (Леска,флуо-салатовая);23,000;CZ2998;1,49 EUR;2,235;Carp Zoom;Лески
;            Bull-Dog Fluo Carp Line 300м,0,31mm,12,65kg (Леска,флуо-салатовая);49,000;CZ3001;1,49 EUR;2,235;Carp Zoom;Лески
;            Bull-Dog Fluo Carp Line 300м,0,35mm,15,45kg (Леска,флуо-салатовая);40,000;CZ3018;1,49 EUR;2,235;Carp Zoom;Лески
;            CZ Fanatic Fishing Line (olive), 0,27, 1000м  (Леска оливковый цвет,сделано в Германии);;CZ4398;3,68 EUR;5,52;Carp Zoom;Лески
;            CZ Fanatic Fishing Line (olive), 0,30, 1000м (Леска оливковый цвет,сделано в Германии);;CZ4404;3,68 EUR;5,52;Carp Zoom;Лески
;            CZ Fanatic Fishing Line (olive), 0,34, 1000м (Леска оливковый цвет,сделано в Германии);;CZ4411;3,68 EUR;5,52;Carp Zoom;Лески
;            CZ Fanatic Fishing Line (olive), 0,38, 1000м (Леска оливковый цвет,сделано в Германии);;CZ4428;3,68 EUR;5,52;Carp Zoom;Лески
;            CZ Line counter (Измеритель вытяжки шнура и лески);5,000;CZ4238;7,43 EUR;11,145;Carp Zoom;Карп - аксессуары
;            CZ Picker Zoom Fishing Line 150м, 0,12mm,2,25 kg (Леска пикерная);;CZ7399;1,19 EUR;1,785;Carp Zoom;Лески
;            CZ Picker Zoom Fishing Line 150м, 0,14mm,2,95 kg (Леска пикерная);;CZ7405;1,19 EUR;1,785;Carp Zoom;Лески
;            CZ Picker Zoom Fishing Line 150м, 0,16mm,3,55 kg (Леска пикерная);;CZ7412;1,19 EUR;1,785;Carp Zoom;Лески
;            CZ Picker Zoom Fishing Line 150м, 0,18mm,4,25 kg (Леска пикерная);;CZ7429;1,19 EUR;1,785;Carp Zoom;Лески
;            Feeder Competition Distance fishing line (green), 0,18mm, 4,40kg, 250m (Фидерная леска для соревнова;41,000;CZ2045;1,73 EUR;2,595;Carp Zoom;Лески
;            Feeder Competition Distance fishing line (green), 0,20mm, 5,60kg, 250m (Фидерная леска для соревнова;27,000;CZ2052;1,73 EUR;2,595;Carp Zoom;Лески
;            Feeder Competition Distance fishing line (green), 0,22mm, 6,35kg, 250m (Фидерная леска для соревнова;47,000;CZ2069;1,73 EUR;2,595;Carp Zoom;Лески
;            Feeder Competition Distance fishing line (green), 0,24mm, 7,65kg, 250m (Фидерная леска для соревнова;46,000;CZ2076;1,73 EUR;2,595;Carp Zoom;Лески
;            Feeder Competition Distance fishing line (green), 0,26mm, 8,20kg, 250m (Фидерная леска для соревнова;34,000;CZ2083;1,73 EUR;2,595;Carp Zoom;Лески
;            Feeder Competition Extreme fishing line (black), 0,17mm, 4,60kg, 200m (Фидерная леска для соревнован;40,000;CZ1987;1,73 EUR;2,595;Carp Zoom;Лески
;            Feeder Competition Extreme fishing line (black), 0,19mm, 5,70kg, 200m (Фидерная леска для соревнован;18,000;CZ1994;1,73 EUR;2,595;Carp Zoom;Лески
;            Feeder Competition Extreme fishing line (black), 0,21mm, 6,70kg, 200m (Фидерная леска для соревнован;44,000;CZ2007;1,73 EUR;2,595;Carp Zoom;Лески
;            Feeder Competition Extreme fishing line (black), 0,23mm, 7,45kg, 200m (Фидерная леска для соревнован;36,000;CZ2014;1,73 EUR;2,595;Carp Zoom;Лески
;            Feeder Competition Extreme fishing line (black), 0,25mm, 8,45kg, 200m (Фидерная леска для соревнован;46,000;CZ2021;1,73 EUR;2,595;Carp Zoom;Лески
;            Feeder Competition Extreme fishing line (black), 0,28mm, 9,20kg, 200m (Фидерная леска для соревнован;60,000;CZ2038;1,73 EUR;2,595;Carp Zoom;Лески
;            Feeder Zoom 150м, 0,16mm, PT 3,75kg (Леска фидерная);29,000;CZ2868;1,32 EUR;1,98;Carp Zoom;Лески
;            Feeder Zoom 150м, 0,18mm, PT 4,45kg (Леска фидерная);12,000;CZ2875;1,32 EUR;1,98;Carp Zoom;Лески
;            Feeder Zoom 150м, 0,20mm, PT 5,40kg (Леска фидерная);5,000;CZ4832;1,32 EUR;1,98;Carp Zoom;Лески
;            Feeder Zoom 150м, 0,22mm, PT 6,25kg (Леска фидерная);61,000;CZ2882;1,32 EUR;1,98;Carp Zoom;Лески
;            Feeder Zoom 150м, 0,25mm, PT 8,45kg (Леска фидерная);42,000;CZ2899;1,32 EUR;1,98;Carp Zoom;Лески
;            Feeder Zoom 150м, 0,28mm, PT 9,75kg (Леска фидерная);33,000;CZ2905;1,32 EUR;1,98;Carp Zoom;Лески
;        42. Feeding Baskets (фидерные кормушки) (Catalogue p. 151);;;;0;Carp Zoom;
;            Drop Lead w. Swivel 10 g (ГРУЗ С ВЕРТЛЮГОМ);;CZ9648;0,18 EUR;0,27;Carp Zoom;
;            Drop Lead w. Swivel 100 g (ГРУЗ С ВЕРТЛЮГОМ);;CZ9716;0,74 EUR;1,11;Carp Zoom;
;            Drop Lead w. Swivel 20 g (ГРУЗ С ВЕРТЛЮГОМ);;CZ9655;0,23 EUR;0,345;Carp Zoom;
;            Drop Lead w. Swivel 30 g (ГРУЗ С ВЕРТЛЮГОМ);;CZ9662;0,30 EUR;0,45;Carp Zoom;
;            Drop Lead w. Swivel 40 g (ГРУЗ С ВЕРТЛЮГОМ);;CZ9679;0,36 EUR;0,54;Carp Zoom;
;            Drop Lead w. Swivel 50 g (ГРУЗ С ВЕРТЛЮГОМ);;CZ9686;0,42 EUR;0,63;Carp Zoom;
;            Drop Lead w. Swivel 60 g (ГРУЗ С ВЕРТЛЮГОМ);;CZ9693;0,48 EUR;0,72;Carp Zoom;
;            Drop Lead w. Swivel 80 g (ГРУЗ С ВЕРТЛЮГОМ);;CZ9709;0,60 EUR;0,9;Carp Zoom;
;            Feeder Drop Feeding Basket 10 g, 50pcs/pack (Фидерная кормушка);6,000;CZ9426;0,30 EUR;0,45;Carp Zoom;
;            Feeder Drop Feeding Basket 10 g, coated, 50pcs/pack (Фидерная кормушка);3,000;CZ9457;0,38 EUR;0,57;Carp Zoom;
;            Feeder Drop Feeding Basket 20 g, 50pcs/pack (Фидерная кормушка);15,000;CZ9433;0,33 EUR;0,495;Carp Zoom;
;            Feeder Drop Feeding Basket 20 g, coated, 50pcs/pack (Фидерная кормушка);4,000;CZ9464;0,41 EUR;0,615;Carp Zoom;
;            Feeder Drop Feeding Basket 30 g, 50pcs/pack (Фидерная кормушка);;CZ9440;0,38 EUR;0,57;Carp Zoom;
;            Feeder Drop Feeding Basket 30 g, coated, 50pcs/pack (Фидерная кормушка);11,000;CZ9471;0,44 EUR;0,66;Carp Zoom;
;            Long Casting Ribbed Feeding Basket 20 g  (Ребристая кормушка для закидывания);;CZ9884;0,35 EUR;0,525;Carp Zoom;
;            Long Casting Ribbed Feeding Basket 20 g, coated  (Ребристая кормушка для закидывания);;CZ9921;0,42 EUR;0,63;Carp Zoom;
;            Long Casting Ribbed Feeding Basket 30 g  (Ребристая кормушка для закидывания);;CZ9891;0,36 EUR;0,54;Carp Zoom;
;            Long Casting Ribbed Feeding Basket 30 g, coated  (Ребристая кормушка для закидывания);;CZ9938;0,44 EUR;0,66;Carp Zoom;
;            Long Casting Ribbed Feeding Basket 40 g  (Ребристая кормушка для закидывания);;CZ9907;0,41 EUR;0,615;Carp Zoom;
;            Long Casting Ribbed Feeding Basket 40 g, coated  (Ребристая кормушка для закидывания);;CZ9945;0,48 EUR;0,72;Carp Zoom;
;            Long Casting Ribbed Feeding Basket 50 g  (Ребристая кормушка для закидывания);;CZ9914;0,48 EUR;0,72;Carp Zoom;
;            Long Casting Ribbed Feeding Basket 50 g, coated  (Ребристая кормушка для закидывания);;CZ9952;0,51 EUR;0,765;Carp Zoom;
;            Long Casting Spiral Feeding Basket 6cm (Кормушка для закидывания );;CZ9259;0,20 EUR;0,3;Carp Zoom;
;            Long Casting Spiral Feeding Basket 7cm (Кормушка для закидывания );;CZ9266;0,21 EUR;0,315;Carp Zoom;
;            Long Casting Spiral Feeding Basket 8cm (Кормушка для закидывания );;CZ9273;0,23 EUR;0,345;Carp Zoom;
;            Long Casting Spiral Feeding Basket w. Winged Lead 20 g (кормушка с крылатым свинцом);;CZ9563;0,44 EUR;0,66;Carp Zoom;
;            Long Casting Spiral Feeding Basket w. Winged Lead 30 g (кормушка с крылатым свинцом);;CZ9570;0,48 EUR;0,72;Carp Zoom;
;            Long Casting Spiral Feeding Basket w. Winged Lead 40 g (кормушка с крылатым свинцом);;CZ9587;0,56 EUR;0,84;Carp Zoom;
;            Long Casting Spiral Feeding Basket w. Winged Lead 60 g (кормушка с крылатым свинцом);;CZ9594;0,59 EUR;0,885;Carp Zoom;
;            Plastic Spool big (?78x27mm) (E-6-14-4) (ШПУЛЯ);;CZ2944;0,15 EUR;0,225;Carp Zoom;
;            Plastic Spool small (?78x13mm) (E-6-14-3) (ШПУЛЯ);50,000;CZ2937;0,12 EUR;0,18;Carp Zoom;
;"            Pole Rig 1, float: 1,5gr; line: 8m 0,16mm; hook: #14 (Готовая поплавочная снасть)";5,000;CZ2188;0,98 EUR;1,47;Carp Zoom;Готовые поводки
;"            Pole Rig 2, float: 1,5gr; line: 8m 0,16mm; hook: #14 (Готовая поплавочная снасть)";15,000;CZ2195;0,98 EUR;1,47;Carp Zoom;Готовые поводки
;"            Pole Rig 3, float: 2,0gr; line: 8m 0,16mm; hook: #14 (Готовая поплавочная снасть)";25,000;CZ2201;0,98 EUR;1,47;Carp Zoom;Готовые поводки
;            Pole rig Chop, 1,5g   (Поплавочная снасть);;CZ2844;0,74 EUR;1,11;Carp Zoom;
;            Ribbed Feeding Basket 20 g  (Ребристая кормушка);;CZ9808;0,32 EUR;0,48;Carp Zoom;
;            Ribbed Feeding Basket 20 g, coated (Ребристая кормушка);;CZ9846;0,39 EUR;0,585;Carp Zoom;
;            Ribbed Feeding Basket 30 g  (Ребристая кормушка);;CZ9815;0,35 EUR;0,525;Carp Zoom;
;            Ribbed Feeding Basket 30 g, coated (Ребристая кормушка);;CZ9853;0,42 EUR;0,63;Carp Zoom;
;            Ribbed Feeding Basket 40 g  (Ребристая кормушка);;CZ9822;0,38 EUR;0,57;Carp Zoom;
;            Ribbed Feeding Basket 40 g, coated (Ребристая кормушка);;CZ9860;0,45 EUR;0,675;Carp Zoom;
;            Ribbed Feeding Basket 50 g  (Ребристая кормушка);;CZ9839;0,42 EUR;0,63;Carp Zoom;
;            Ribbed Feeding Basket 50 g, coated (Ребристая кормушка);;CZ9877;0,51 EUR;0,765;Carp Zoom;
;            Spiral Feeding Basket 6cm (коническая спиральная кормушка);;CZ9198;0,18 EUR;0,27;Carp Zoom;
;            Spiral Feeding Basket 7cm (коническая спиральная кормушка);;CZ9204;0,20 EUR;0,3;Carp Zoom;
;            Spiral Feeding Basket 8cm (коническая спиральная кормушка);283,000;CZ9211;0,21 EUR;0,315;Carp Zoom;
;            Spiral Feeding Basket w. Winged Lead 20 g (Спиральная кормушка с крылатым свинцом);;CZ9488;0,39 EUR;0,585;Carp Zoom;
;            Spiral Feeding Basket w. Winged Lead 30 g (Спиральная кормушка с крылатым свинцом);;CZ9495;0,45 EUR;0,675;Carp Zoom;
;            Spiral Feeding Basket w. Winged Lead 40 g (Спиральная кормушка с крылатым свинцом);;CZ9501;0,51 EUR;0,765;Carp Zoom;
;            Spiral Feeding Basket w. Winged Lead 60 g (Спиральная кормушка с крылатым свинцом);;CZ9518;0,57 EUR;0,855;Carp Zoom;
;        43. Floats (поплавки);;;;0;Carp Zoom;
;            CZ MultiCatch Float 1, 4g (Поплавок для стоячей воды,подходить для ночной рыбалки);16,000;CZ3742;0,60 EUR;0,9;Carp Zoom;Поплавки
;            CZ MultiCatch Float 1, 5g (Поплавок для стоячей воды,подходить для ночной рыбалки);27,000;CZ3759;0,63 EUR;0,945;Carp Zoom;Поплавки
;            CZ MultiCatch Float 1, 6g (Поплавок для стоячей воды,подходить для ночной рыбалки);28,000;CZ3766;0,66 EUR;0,99;Carp Zoom;Поплавки
;            CZ MultiCatch Float 1, 8g (Поплавок для стоячей воды,подходить для ночной рыбалки);28,000;CZ3773;0,71 EUR;1,065;Carp Zoom;Поплавки
;            CZ MultiCatch Float 10, 2g (сменая антена,для маховой и традицион.рыбалки);1,000;CZ4107;0,59 EUR;0,885;Carp Zoom;Поплавки
;            CZ MultiCatch Float 10, 3g (сменая антена,для маховой и традицион.рыбалки);11,000;CZ4114;0,59 EUR;0,885;Carp Zoom;Поплавки
;            CZ MultiCatch Float 10, 4g (сменая антена,для маховой и традицион.рыбалки);14,000;CZ4121;0,60 EUR;0,9;Carp Zoom;Поплавки
;            CZ MultiCatch Float 10, 5g (сменая антена,для маховой и традицион.рыбалки);15,000;CZ4138;0,60 EUR;0,9;Carp Zoom;Поплавки
;            CZ MultiCatch Float 16, 3g (попловок для маховой рыбалки с бамбуковой антеной);13,000;CZ4381;0,62 EUR;0,93;Carp Zoom;Поплавки
;            CZ MultiCatch Float 2, 3g  (для стоячей воды с встроенным грузилом);19,000;CZ3780;0,66 EUR;0,99;Carp Zoom;Поплавки
;            CZ MultiCatch Float 2, 4g  (для стоячей воды с встроенным грузилом);19,000;CZ3797;0,74 EUR;1,11;Carp Zoom;Поплавки
;            CZ MultiCatch Float 2, 6g  (для стоячей воды с встроенным грузилом);10,000;CZ3803;0,83 EUR;1,245;Carp Zoom;Поплавки
;            CZ MultiCatch Float 2, 8g  (для стоячей воды с встроенным грузилом);10,000;CZ3810;0,93 EUR;1,395;Carp Zoom;Поплавки
;            CZ MultiCatch Float 3, 3g (для стоячей воды подходить для ночной рыбалки);14,000;CZ3827;0,60 EUR;0,9;Carp Zoom;Поплавки
;            CZ MultiCatch Float 3, 4g (для стоячей воды подходить для ночной рыбалки);14,000;CZ3834;0,60 EUR;0,9;Carp Zoom;Поплавки
;            CZ MultiCatch Float 3, 5g (для стоячей воды подходить для ночной рыбалки);20,000;CZ3841;0,63 EUR;0,945;Carp Zoom;Поплавки
;            CZ MultiCatch Float 3, 6g (для стоячей воды подходить для ночной рыбалки);23,000;CZ3858;0,66 EUR;0,99;Carp Zoom;Поплавки
;            CZ MultiCatch Float 4, 5g (с встроенным грузилом,подходить для ночной рыбалки);;CZ3865;0,66 EUR;0,99;Carp Zoom;Поплавки
;            CZ MultiCatch Float 4, 7g (с встроенным грузилом,подходить для ночной рыбалки);1,000;CZ3872;0,74 EUR;1,11;Carp Zoom;Поплавки
;            CZ MultiCatch Float 5, 6g  (для стоячей воды подходить для ночной рыбалки);5,000;CZ3902;0,63 EUR;0,945;Carp Zoom;Поплавки
;            CZ MultiCatch Float 6, 3g (поплавок для стоячей воды,для глубокой воды);20,000;CZ3940;0,60 EUR;0,9;Carp Zoom;Поплавки
;            CZ MultiCatch Float 6, 4g (поплавок для стоячей воды,для глубокой воды);11,000;CZ3957;0,60 EUR;0,9;Carp Zoom;Поплавки
;            CZ MultiCatch Float 6, 5g (поплавок для стоячей воды,для глубокой воды);11,000;CZ3964;0,63 EUR;0,945;Carp Zoom;Поплавки
;            CZ MultiCatch Float 6, 6g (поплавок для стоячей воды,для глубокой воды);34,000;CZ3971;0,63 EUR;0,945;Carp Zoom;Поплавки
;            CZ MultiCatch Float 7, 10g (с встроенным грузилом,подходить для ночной рыбалки);8,000;CZ4015;0,83 EUR;1,245;Carp Zoom;Поплавки
;            CZ MultiCatch Float 7, 3g (с встроенным грузилом,подходить для ночной рыбалки);;CZ3988;0,63 EUR;0,945;Carp Zoom;Поплавки
;            CZ MultiCatch Float 7, 5g (с встроенным грузилом,подходить для ночной рыбалки);10,000;CZ3995;0,66 EUR;0,99;Carp Zoom;Поплавки
;            CZ MultiCatch Float 7, 8g (с встроенным грузилом,подходить для ночной рыбалки);7,000;CZ4008;0,78 EUR;1,17;Carp Zoom;Поплавки
;            CZ MultiCatch Float 8, 12g (карповый тип,подходит и для медленного течения);29,000;CZ4053;0,78 EUR;1,17;Carp Zoom;Поплавки
;            CZ MultiCatch Float 8, 3g (карповый тип,подходит и для медленного течения);14,000;CZ4022;0,60 EUR;0,9;Carp Zoom;Поплавки
;            CZ MultiCatch Float 8, 5g (карповый тип,подходит и для медленного течения);27,000;CZ4039;0,63 EUR;0,945;Carp Zoom;Поплавки
;            CZ MultiCatch Float 8, 8g  (карповый тип,подходит и для медленного течения);28,000;CZ4046;0,66 EUR;0,99;Carp Zoom;Поплавки
;            CZ MultiCatch Float 9, 10g (для стоячей воды подходить для ночной рыбалки);9,000;CZ4077;0,78 EUR;1,17;Carp Zoom;Поплавки
;            CZ MultiCatch Float 9, 12g (для стоячей воды подходить для ночной рыбалки);19,000;CZ4084;0,83 EUR;1,245;Carp Zoom;Поплавки
;            CZ MultiCatch Float 9, 15g (для стоячей воды подходить для ночной рыбалки);10,000;CZ4091;0,93 EUR;1,395;Carp Zoom;Поплавки
;            CZ MultiCatch Float 9, 8g (для стоячей воды подходить для ночной рыбалки);36,000;CZ4060;0,72 EUR;1,08;Carp Zoom;Поплавки
;        44. Pliers, Knives, Scissors (ножницы,ножи и зажимы) (Catalogue p. 152-154);;;;0;Carp Zoom;
;            CZ Cut resistant glove (Защитная перчатка от порезов);9,000;CZ4320;3,59 EUR;5,385;Carp Zoom;Перчатки
;            CZ Fillet Knife with Sheath  (Нож для филе,нержавеющая сталь,длина лезвия 16 см);;CZ3636;2,78 EUR;4,17;Carp Zoom;Ножи
;"            CZ Fisherman's Filleting Kit ( Набор для „филейщика"")";;CZ3667;12,72 EUR;19,08;Carp Zoom;Ножи
;            CZ Fishing Knife with Sheath (Рыбацкий нож,длина лезвия 9,5см,нержавеющая сталь);;CZ3674;2,78 EUR;4,17;Carp Zoom;Ножи
;            CZ Fishing Pliers (Многофункциональные щипцы,нескользящая рукоятка,в чехле);;CZ3711;4,49 EUR;6,735;Carp Zoom;Плоскогубцы, щипцы
;            CZ Fishing Pliers Crocodile (Рыбацкие щипцы,нержавеющая сталь,чёрный чехол);25,000;CZ3728;4,88 EUR;7,32;Carp Zoom;Плоскогубцы, щипцы
;            CZ Floating Knife with Sheath  (Плавающий нож,нержавеющая сталь);2,000;CZ3629;2,93 EUR;4,395;Carp Zoom;Ножи
;            CZ Handy scissors (Удобные ножницы);4,000;CZ3194;1,28 EUR;1,92;Carp Zoom;Ножницы
;            CZ Heavy Duty Scissors (Сильные ножницы,нержавеющая стал,ручки из мягкой трезины,длина 23,3 см );2,000;CZ3643;3,38 EUR;5,07;Carp Zoom;Ножницы
;            CZ Multi-Pliers (дополняется наличием отвёртки, напильника, пилы, консервного ножа,открывалки и ножа,в чехле,длина: 16,5 см);;CZ3704;6,72 EUR;10,08;Carp Zoom;Плоскогубцы, щипцы
;            CZ Pliers & Knife Set (Щипцы + нож, нержавеющая сталь,длина 17,8 см,мягкие рифлёные ручки);3,000;CZ3650;10,43 EUR;15,645;Carp Zoom;Плоскогубцы, щипцы
;            CZ Pocket Pliers  ( Многофункциональные щипцы,включают 6 различных вспомогательных приспособлений,нержавеющая сталь,чехол);;CZ3698;4,49 EUR;6,735;Carp Zoom;Плоскогубцы, щипцы
;            CZ Pocket scissors (Карманные ножницы);7,000;CZ3149;1,34 EUR;2,01;Carp Zoom;Ножницы
;            CZ Scissors for braided line (Щипцы для шнура);;CZ2111;5,24 EUR;7,86;Carp Zoom;Плоскогубцы, щипцы
;            CZ Worm scissors  (Ножницы для разрезания червяков);;CZ6446;2,78 EUR;4,17;Carp Zoom;Ножницы
;            Dragon Knife;;CZ8328;2,78 EUR;4,17;Carp Zoom;Ножи
;            Lead plier  (Плоскогубцы для свинца);;CZ1212;0,74 EUR;1,11;Carp Zoom;Плоскогубцы, щипцы
;            MFA-1 Pliers;1,000;CZ8335;17,24 EUR;25,86;Carp Zoom;Ножи
;            Scraper-Knife;7,000;CZ8571;2,99 EUR;4,485;Carp Zoom;Ножи
;    4. OUTWEAR;;;;0;Carp Zoom;
;        01. Rain Ponchos, Suit (костюмы от дождя) (Catalogue p. 156);;;;0;Carp Zoom;
;            EAZI Rain poncho, camou (Камуфлированный плащ от легкого дождя);5,000;CZ3668;2,54 EUR;3,81;Carp Zoom;Костюмы
;            HIGH-Q rain poncho, camou (камуфлированный плащ от проливного дождя);6,000;CZ3675;7,43 EUR;11,145;Carp Zoom;Костюмы
;            HIGH-Q rain suit, large (Костюм от дождя - большой);2,000;CZ3781;11,93 EUR;17,895;Carp Zoom;Костюмы
;            HIGH-Q rain suit, medium (Костюм от дождя - средний);2,000;CZ3774;11,93 EUR;17,895;Carp Zoom;Костюмы
;            HIGH-Q Rain Suit, XL;1,000;CZ5860;11,93 EUR;17,895;Carp Zoom;Костюмы
;            HIGH-Q Rain Suit, XXL;;CZ5877;11,93 EUR;17,895;Carp Zoom;Костюмы
;            HIGH-Q Rain Suit, XXXL;1,000;CZ5884;11,93 EUR;17,895;Carp Zoom;Костюмы
;        02. T-Shirts, Jacket, Vest, Underwear (футболки, куртки, жилеты,термобелье) (Catalogue p. 157);;;;0;Carp Zoom;
;            CZ Feeder Competition T-Shirt L (Фирменная футболка);1,000;CZ/SHIRT5 L;6,50 EUR;9,75;Carp Zoom;Регланы футболки 
;            CZ Feeder Competition T-Shirt M (Фирменная футболка);;CZ/SHIRT5 M;6,50 EUR;9,75;Carp Zoom;Регланы футболки 
;            CZ Feeder Competition T-Shirt S (Фирменная футболка);;CZ/SHIRT5 S;6,50 EUR;9,75;Carp Zoom;Регланы футболки 
;            CZ Feeder Competition T-Shirt XL (Фирменная футболка);1,000;CZ/SHIRT5 XL;6,50 EUR;9,75;Carp Zoom;Регланы футболки 
;            CZ Feeder Competition T-Shirt XXL (Фирменная футболка);;CZ/SHIRT5 XXL;6,50 EUR;9,75;Carp Zoom;Регланы футболки 
;            CZ Feeder Competition T-Shirt XXXL (Фирменная футболка);;CZ/SHIRT5 XXXL;6,50 EUR;9,75;Carp Zoom;Регланы футболки 
